PRODUCT_NAME;PRODUCT_DESC;PRODUCT_SCHOOL;PRODUCT_CATEGORY;PRODUCT_GENDER;PRODUCT_SIZE;PRODUCT_PRICE;PRODUCT_IMG_LINK;PRODUCT_STOCK
DLSU Halftone;One of our new round-neck cheer shirts for UAAP DLSU Green Archers. 65% Polyester, 35% Cotton;LA SALLE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;480;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_DLSU_SBC-B-111-GN_Front-600x600.jpg;58
DLSU Vinyl;One of our classic round-neck cheer shirts for UAAP DLSU Green Archers. 65% Polyester, 35% Cotton;LA SALLE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;550;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_DLSU_SBC-B-101-GN_Front-600x600.jpg;28
Hail! Hail! Hail!;One of our new round-neck cheer shirts for UAAP DLSU Green Archers. 65% Polyester, 35% Cotton;LA SALLE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;480;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_DLSU_SBC-B-108-GN_Front-600x600.jpg;49
La Salle Text;One of our new round-neck cheer shirts for UAAP DLSU Green Archers. 65% Polyester, 35% Cotton;LA SALLE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;480;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_DLSU_SBC-B-112-GN_Front-600x600.jpg;39
Never Shall;One of our new round-neck cheer shirts for UAAP DLSU Green Archers. 65% Polyester, 35% Cotton;LA SALLE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;480;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_DLSU_SBC-B-109-GN_Back-600x600.jpg;53
We Believe;One of our new round-neck cheer shirts for UAAP DLSU Green Archers. 65% Polyester, 35% Cotton;LA SALLE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;480;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_DLSU_SBC-B-110-GN_Front-600x600.jpg;49
La Salle Sweatshirt;One of our classic sweatshirt designs for UAAP DLSU Green Archers.;LA SALLE;SWEATSHIRTS;       F | M;XS | S | M | L | XL;1475;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/2-1-600x600.jpg;46
FEU Future;One of our new round-neck cheer shirts for UAAP FEU Tamaraws. 65% Polyester, 35% Cotton;FEU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/FEU_Future_moss-green-600x600.png;61
FEU Half Face;One of our new round-neck cheer shirts for UAAP FEU Tamaraws. 65% Polyester, 35% Cotton;FEU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/FEU-Half-face.png;48
FEU Rubber Patch;One of our new round-neck cheer shirts for UAAP FEU Tamaraws. 65% Polyester, 35% Cotton;FEU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/FEU-Main_Tam-Rubber-Patch_moss-green-600x600.png;45
FEU Square;One of our new round-neck cheer shirts for UAAP FEU Tamaraws. 65% Polyester, 35% Cotton;FEU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/FEU_Square_moss-green-600x600.png;49
FEU Vinyl;One of our classic round-neck cheer shirts for UAAP FEU Tamaraws. 65% Polyester, 35% Cotton;FEU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;500;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_FEU_SBC-C-103-Y-FEU-Vinyl-front-600x600.jpg;51
FEU Hide;One of our new pocket tee designs for UAAP FEU Tamaraws. 65% Polyester, 35% Cotton;FEU;POCKET TEES;U | F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/FEU_Hide-Tams_pocket-tee_moss-green-600x600.png;56
FEU Embro Sweatshirt;One of our new sweatshirts for UAAP FEU Tamaraws. 65% Polyester, 35% Cotton;FEU;SWEATSHIRTS;       F | M;XS | S | M | L | XL;1300;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/FEU_embro-tamaraw_sweatshirt.png;27
Let’s Go NU (4DGB);One of our classic round-neck cheer shirts for UAAP National-U Bulldogs. 65% Polyester, 35% Cotton;NU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;380;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_NU_SBC-E-106-MB_Front-600x600.jpg;67
National U;One of our classic round-neck cheer shirts for UAAP National-U Bulldogs. 65% Polyester, 35% Cotton;NU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;380;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_NU_SBC-E-104-MB_Front-600x600.jpg;31
National-U Vinyl;One of our classic round-neck cheer shirts for UAAP National-U Bulldogs. 65% Polyester, 35% Cotton;NU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/SBC-E-105-MB-National-U-Vinyl-Front.jpg;26
NU Go Bulldogs;One of our classic round-neck cheer shirts for UAAP National-U Bulldogs. 65% Polyester, 35% Cotton;NU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/NU_GB-600x600.png;34
